Year,Month,Month_Name,Average_Index_NSA
1991,1,January,100.0
1991,2,February,100.361
1991,3,March,100.668
1991,4,April,100.64
1991,5,May,100.726
1991,6,June,101.23400000000001
1991,7,July,101.152
1991,8,August,101.104
1991,9,September,101.311
1991,10,October,101.46799999999999
1991,11,November,101.85
1991,12,December,102.093
1992,1,January,102.19300000000001
1992,2,February,102.851
1992,3,March,102.951
1992,4,April,102.804
1992,5,May,102.93800000000002
1992,6,June,103.275
1992,7,July,103.554
1992,8,August,104.199
1992,9,September,104.41900000000001
1992,10,October,104.699
1992,11,November,104.95
1992,12,December,104.548
1993,1,January,104.327
1993,2,February,104.019
1993,3,March,104.62
1993,4,April,105.51700000000001
1993,5,May,105.96300000000001
1993,6,June,106.76500000000001
1993,7,July,106.852
1993,8,August,107.405
1993,9,September,107.665
1993,10,October,107.69800000000001
1993,11,November,108.099
1993,12,December,108.298
1994,1,January,108.23299999999999
1994,2,February,108.47999999999999
1994,3,March,109.27000000000001
1994,4,April,109.77000000000001
1994,5,May,110.44300000000001
1994,6,June,111.12
1994,7,July,111.21900000000001
1994,8,August,111.58600000000001
1994,9,September,111.40899999999999
1994,10,October,111.542
1994,11,November,111.67999999999999
1994,12,December,111.372
1995,1,January,111.27000000000001
1995,2,February,111.856
1995,3,March,112.147
1995,4,April,112.7
1995,5,May,113.18299999999999
1995,6,June,114.071
1995,7,July,114.554
1995,8,August,114.898
1995,9,September,114.86100000000002
1995,10,October,114.78
1995,11,November,114.824
1995,12,December,115.01400000000001
1996,1,January,115.151
1996,2,February,115.21399999999998
1996,3,March,116.06800000000001
1996,4,April,116.673
1996,5,May,117.327
1996,6,June,117.862
1996,7,July,118.266
1996,8,August,118.279
1996,9,September,118.28399999999999
1996,10,October,118.165
1996,11,November,118.21900000000001
1996,12,December,118.285
1997,1,January,118.168
1997,2,February,118.42699999999999
1997,3,March,119.322
1997,4,April,119.89500000000001
1997,5,May,120.679
1997,6,June,121.144
1997,7,July,121.47
1997,8,August,121.83900000000001
1997,9,September,121.65599999999999
1997,10,October,122.03399999999999
1997,11,November,122.138
1997,12,December,122.204
1998,1,January,122.35
1998,2,February,123.19800000000001
1998,3,March,124.07000000000001
1998,4,April,124.94300000000001
1998,5,May,125.89500000000001
1998,6,June,127.10800000000002
1998,7,July,127.40299999999999
1998,8,August,127.876
1998,9,September,128.375
1998,10,October,128.60399999999998
1998,11,November,129.254
1998,12,December,129.44
1999,1,January,129.81599999999997
1999,2,February,130.32
1999,3,March,131.487
1999,4,April,132.429
1999,5,May,133.68099999999998
1999,6,June,134.778
1999,7,July,135.484
1999,8,August,136.193
1999,9,September,136.372
1999,10,October,136.719
1999,11,November,137.013
1999,12,December,137.323
2000,1,January,138.5
2000,2,February,138.347
2000,3,March,139.911
2000,4,April,141.27100000000002
2000,5,May,142.377
2000,6,June,143.901
2000,7,July,144.59
2000,8,August,144.994
2000,9,September,145.553
2000,10,October,146.092
2000,11,November,146.499
2000,12,December,146.818
2001,1,January,147.54500000000002
2001,2,February,148.48899999999998
2001,3,March,149.767
2001,4,April,151.102
2001,5,May,152.464
2001,6,June,153.744
2001,7,July,154.574
2001,8,August,155.18099999999998
2001,9,September,155.66400000000002
2001,10,October,156.22899999999998
2001,11,November,156.241
2001,12,December,156.733
2002,1,January,157.206
2002,2,February,157.98499999999999
2002,3,March,159.56300000000002
2002,4,April,160.988
2002,5,May,162.654
2002,6,June,164.339
2002,7,July,165.50900000000001
2002,8,August,166.42000000000002
2002,9,September,167.017
2002,10,October,167.82999999999998
2002,11,November,168.19400000000002
2002,12,December,168.828
2003,1,January,169.33499999999998
2003,2,February,170.293
2003,3,March,171.531
2003,4,April,173.224
2003,5,May,174.81
2003,6,June,176.372
2003,7,July,177.653
2003,8,August,178.833
2003,9,September,180.05599999999998
2003,10,October,180.54000000000002
2003,11,November,181.293
2003,12,December,182.15
2004,1,January,182.721
2004,2,February,184.108
2004,3,March,186.13299999999998
2004,4,April,188.47
2004,5,May,191.075
2004,6,June,193.89600000000002
2004,7,July,195.503
2004,8,August,196.695
2004,9,September,197.917
2004,10,October,198.702
2004,11,November,199.68699999999998
2004,12,December,200.68
2005,1,January,201.31
2005,2,February,203.348
