Year,Gold
1960.0,35.27
1961.0,35.25
1962.0,35.23
1963.0,35.09
1964.0,35.1
1965.0,35.12
1966.0,35.13
1967.0,34.95
1968.0,38.925
1969.0,41.08333333333
1970.0,35.94166666667
1971.0,40.80416666667
1972.0,58.15916666667
1973.0,97.32583333333
1974.0,159.245
1975.0,161.02916666667
1976.0,124.81583333333
1977.0,147.72083333333
1978.0,193.23916666667
1979.0,306.6675
1980.0,607.86416666667
1981.0,459.75416666667
1982.0,375.79666666667
1983.0,422.53
1984.0,360.4775
1985.0,317.9075
1986.0,367.69416666667
1987.0,446.4725
1988.0,437.04833333333
1989.0,381.43166666667
1990.0,383.46666666667
1991.0,362.1825
1992.0,343.73333333333
1993.0,359.77
1994.0,384.01166666667
1995.0,384.16416666667
1996.0,387.69583333333
1997.0,331.09583333333
1998.0,294.16083333333
1999.0,278.76833333333
2000.0,279.03166666667
2001.0,270.98916666667
2002.0,309.97166666667
2003.0,363.50916666667
2004.0,409.21158333333
2005.0,444.84258333333
2006.0,604.33583333333
2007.0,696.72025
2008.0,871.70725
2009.0,972.96591666667
2010.0,1224.66425
2011.0,1569.21083333333
2012.0,1669.51766666667
2013.0,1411.46230174415
2014.0,1265.5775
2015.0,1160.66333333333
2016.0,1248.98833333333
2017.0,1257.55916666667
2018.0,1269.22666666667
2019.0,1392.49833333333
2020.0,1770.25416666667
2021.0,1799.62916666667
2022.0,1800.6025
2023.0,1942.66583333333
2024.0,2387.7025
