Date,SP500
1/2/1990,359.69
1/3/1990,358.76
1/4/1990,355.67
1/5/1990,352.2
1/8/1990,353.79
1/9/1990,349.62
1/10/1990,347.31
1/11/1990,348.53
1/12/1990,339.93
1/15/1990,337
1/16/1990,340.75
1/17/1990,337.4
1/18/1990,338.19
1/19/1990,339.15
1/22/1990,330.38
1/23/1990,331.61
1/24/1990,330.26
1/25/1990,326.08
1/26/1990,325.8
1/29/1990,325.2
1/30/1990,322.98
1/31/1990,329.08
2/1/1990,328.79
2/2/1990,330.92
2/5/1990,331.85
2/6/1990,329.66
2/7/1990,333.75
2/8/1990,332.96
2/9/1990,333.62
2/12/1990,330.08
2/13/1990,331.02
2/14/1990,332.01
2/15/1990,334.89
2/16/1990,332.72
2/20/1990,327.99
2/21/1990,327.67
2/22/1990,325.7
2/23/1990,324.15
2/26/1990,328.67
2/27/1990,330.26
2/28/1990,331.89
3/1/1990,332.74
3/2/1990,335.54
3/5/1990,333.74
3/6/1990,337.93
3/7/1990,336.95
3/8/1990,340.27
3/9/1990,337.93
3/12/1990,338.67
3/13/1990,336
3/14/1990,336.87
3/15/1990,338.07
3/16/1990,341.91
3/19/1990,343.53
3/20/1990,341.57
3/21/1990,339.74
3/22/1990,335.65
3/23/1990,337.22
3/26/1990,337.63
3/27/1990,341.5
3/28/1990,342
3/29/1990,340.79
3/30/1990,339.94
4/2/1990,338.7
4/3/1990,343.64
4/4/1990,341.09
4/5/1990,340.73
4/6/1990,340.08
4/9/1990,341.37
4/10/1990,342.07
4/11/1990,341.92
4/12/1990,344.34
4/16/1990,344.74
4/17/1990,344.68
4/18/1990,340.72
4/19/1990,338.09
4/20/1990,335.12
4/23/1990,331.05
4/24/1990,330.36
4/25/1990,332.03
4/26/1990,332.92
4/27/1990,329.11
4/30/1990,330.8
5/1/1990,332.25
5/2/1990,334.48
5/3/1990,335.57
5/4/1990,338.39
5/7/1990,340.53
5/8/1990,342.01
5/9/1990,347.86
5/10/1990,343.82
5/11/1990,352
5/14/1990,354.75
5/15/1990,354.28
5/16/1990,354
5/17/1990,354.47
5/18/1990,354.64
5/21/1990,358
5/22/1990,358.43
5/23/1990,359.29
5/24/1990,358.41
5/25/1990,354.58
5/29/1990,360.65
5/30/1990,360.86
5/31/1990,361.23
6/1/1990,363.16
6/4/1990,367.4
6/5/1990,366.64
